model,params,num_users,num_test_overlap,overlap_ratio,NDCG@K,Recall@K,MeanPop@K,LongTailExposure@K,AudioKL,ExposureGini,NumUsers,NumUsersWithHits
my_reranker,a1.0_b0.6_g0.5,4304,4304,0.538067258407301,0.01564382694247343,0.025682298401184703,6.925367896587703,0.29116171003717467,0.01511527798271601,0.6498704051701055,4304,1050
my_reranker,a1.0_b0.6_g0.7,4304,4304,0.538067258407301,0.015479352751030333,0.025573397826229333,6.770188552997421,0.30457249070631975,0.01478867819261662,0.651920537735648,4304,1044
my_reranker,a1.0_b0.9_g0.3,4304,4304,0.538067258407301,0.0159011010883256,0.02549206687917105,7.215856619339252,0.2685246282527881,0.016341204493614914,0.6471770592052919,4304,1042
my_reranker,a1.0_b0.9_g0.5,4304,4304,0.538067258407301,0.015938709451978502,0.02548428435088355,7.065421569712744,0.27993959107806693,0.016043437403204217,0.6484144102905547,4304,1043
my_reranker,a1.0_b0.9_g0.7,4304,4304,0.538067258407301,0.01586575471776033,0.025701145287529276,6.93277442338503,0.29040427509293676,0.015707105386518604,0.6496011623365162,4304,1047
xquad,lambda_0.1,4304,4304,0.538067258407301,0.008760810827925278,0.016161763010993112,7.4437708668842335,0.2507342007434944,0.01884061286621829,0.630994518158525,4304,717
xquad,lambda_0.25,4304,4304,0.538067258407301,0.008778417222577209,0.016161763010993112,7.4435987351956365,0.25077137546468403,0.018828700490610233,0.6310546930703226,4304,717
xquad,lambda_0.5,4304,4304,0.538067258407301,0.008790671534919386,0.01617725247815544,7.443205797965657,0.25075743494423797,0.018793178111712557,0.6311836499739738,4304,717
xquad,lambda_0.75,4304,4304,0.538067258407301,0.00886486312315865,0.016256459980690082,7.441809845923084,0.2508480483271376,0.01869650759963603,0.6316511209890744,4304,719
xquad,lambda_0.9,4304,4304,0.538067258407301,0.009183634417300976,0.016694692910927712,7.439303808877197,0.25079693308550194,0.018366063622086707,0.6324382931914614,4304,739
